salon;edition_annee;entreprise;secteur_metier;site_web;email;type_email;email_origine;email_annuaire;email_site;email_site_source;nom_contact;fonction;ville;departement;telephone;source_url;date_collecte;statut_validation;segment_ICP
Medfel;2026;APRINFO AI;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/aprinfo-ai/;2026-06-20;a_enrichir;Haute
Medfel;2026;FRIGOREXPRESS Transports Internationaux;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/frigorexpress-transports-internationaux/;2026-06-20;a_enrichir;Haute
Medfel;2026;AKANEA;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/akanea/;2026-06-20;a_enrichir;Haute
Medfel;2026;SN COMPTOIR RHODANIEN / VILLE-VALNOIX;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/sn-comptoir-rhodanien-ville-valnoix/;2026-06-20;a_enrichir;Haute
Medfel;2026;COOPÉRATIVE ROUSSILLON LA TOUR;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/cooperative-roussillon-la-tour/;2026-06-20;a_enrichir;Haute
Medfel;2026;SORMAF;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/sormaf/;2026-06-20;a_enrichir;Haute
Medfel;2026;FESTIVAL;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/festival/;2026-06-20;a_enrichir;Haute
Medfel;2026;ALLIANZ TRADE;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/allianz-trade/;2026-06-20;a_enrichir;Haute
Medfel;2026;LES FRUITS DE PROVENCE;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/les-fruits-de-provence/;2026-06-20;a_enrichir;Haute
Medfel;2026;JOUFFRUIT;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/jouffruit/;2026-06-20;a_enrichir;Haute
Medfel;2026;FERME TY COZ;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/ferme-ty-coz/;2026-06-20;a_enrichir;Haute
Medfel;2026;GREYPE FRANCE;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/greype-france/;2026-06-20;a_enrichir;Haute
Medfel;2026;VITAFRESH DISTRIBUTION;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/vitafresh-distribution/;2026-06-20;a_enrichir;Haute
Medfel;2026;SAICA;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/saica/;2026-06-20;a_enrichir;Haute
Medfel;2026;LE VERGER BIO DE VERONIQUE;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/le-verger-bio-de-veronique/;2026-06-20;a_enrichir;Haute
Medfel;2026;ANECOOP FRANCE;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/anecoop-france/;2026-06-20;a_enrichir;Haute
Medfel;2026;SETOP;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/setop/;2026-06-20;a_enrichir;Haute
Medfel;2026;POMONA IMPORT TERRE AZUR;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/pomona-import-terre-azur/;2026-06-20;a_enrichir;Haute
Medfel;2026;LYMOUNA MATYSHA TOUTYBERRY;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/matysha-france/;2026-06-20;a_enrichir;Haute
Medfel;2026;COMPAGNIE MARITIME MARFRET;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/compagnie-maritime-marfret/;2026-06-20;a_enrichir;Haute
Medfel;2026;FRUITS ET COMPAGNIE;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/fruits-et-compagnie/;2026-06-20;a_enrichir;Haute
Medfel;2026;FRANCE FOOD;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/france-food/;2026-06-20;a_enrichir;Haute
